"facility_id","data_collection_year","lfg_collection_system_in_place","lfg_collected_mmscfd","lfg_flared_mmscfd","data_source_id","created_date","modified_date","data_source_location_id"
5355,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5855,2022,"Yes","1.717","1.717",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6194,2022,"Yes","5.394","5.394",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4952,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2189,2022,"Yes","0.059","0.059",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2233,2022,"Yes","11.453",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5228,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5729,2022,"Yes","7.581","1.231",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3691,2022,"Yes","2.29","2.29",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4318,2022,"Yes","2.981","2.981",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3236,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1217,2022,"Yes","14.575",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1207,2022,"Yes","4.199","1.299",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2007,2022,"Yes","4.665","0.576",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3456,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1667,2022,"Yes","2.18","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2799,2022,"Yes","8.246","0.246",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2800,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2215,2022,"Yes","0.723","0.723",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5701,2022,"Yes","8.779","8.779",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6449,2022,"Yes","0.424","0.424",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4861,2022,"Yes","3.081",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1970,2022,"Yes","2.966","0.086",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5262,2022,"Yes","6.368",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2949,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4970,2022,"Yes","8.424","0.054",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1666,2022,"Yes","3.0",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1781,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1599,2022,"Yes","1.99","1.99",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4582,2022,"Yes","3.161","3.161",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1165,2022,"Yes","1.152",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1579,2022,"Yes","0.885","0.885",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4567,2022,"Yes","2.769","2.769",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4686,2022,"Yes","13.602","0.62",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3954,2022,"Yes","3.868","1.44",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1689,2022,"Yes","0.237","0.237",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3856,2022,"Yes","0.312","0.312",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5352,2022,"Yes","1.975","0.172",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1928,2022,"Yes","1.156",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5787,2022,"Yes","7.09",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6498,2022,"Yes","2.252","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2301,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2582,2022,"Yes","2.361","0.633",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4180,2022,"Yes","14.692","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1854,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5924,2022,"Yes","27.94",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1065,2022,"Yes","0.798","0.798",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1954,2022,"Yes","8.72",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6389,2022,"Yes","0.95",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1649,2022,"Yes","2.314","2.314",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3146,2022,"Yes","10.02",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2794,2022,"Yes","13.698","2.45",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6114,2022,"Yes","3.635","3.635",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5943,2022,"Yes","2.532","1.23",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1893,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1478,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5322,2022,"Yes","7.363","7.363",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2712,2022,"Yes","2.541",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1595,2022,"Yes","12.03","2.23",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3183,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2287,2022,"Yes","8.215","4.052",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1829,2022,"Yes","6.791","0.65",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1000,2022,"Yes","7.467",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5573,2022,"Yes","2.234",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6521,2022,"Yes","10.694","10.694",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2708,2022,"Yes",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2753,2022,"Yes","1.678",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3014,2022,"Yes","15.136","15.136",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6079,2022,"Yes","0.699",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4305,2022,"Yes","4.651",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1575,2022,"Yes","11.249","0.546",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4991,2022,"Unknown",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2116,2022,"Yes","0.113","0.113",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2290,2022,"Yes","1.019","1.019",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1250,2022,"Yes","8.465","1.827",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4894,2022,"Yes","1.844","0.215",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2098,2022,"Yes","1.077","0.045",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1180,2022,"Yes","3.818",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4728,2022,"Yes","1.031",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2091,2022,"Yes","0.764",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2637,2022,"Yes",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5561,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1577,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6533,2022,"Yes","12.178","4.228",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2229,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6540,2022,"Yes","1.461","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4327,2022,"Yes","2.117",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4179,2022,"Yes","0.015","0.015",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4211,2022,"Yes","9.03","9.03",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2244,2022,"Yes","6.96","0.24",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4717,2022,"Yes","10.139","6.437",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5497,2022,"Yes","0.257","0.257",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2037,2022,"Yes","12.098","4.789",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4041,2022,"Yes","0.629","0.629",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2979,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1074,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5796,2022,"Yes","1.36","1.36",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1971,2022,"Yes","6.554","0.962",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2075,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2696,2022,"Yes","2.437","0.355",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2402,2022,"Yes","1.473","0.513",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5577,2022,"Yes","17.169","2.579",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2125,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4161,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4509,2022,"Yes","9.635","8.434",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4510,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4511,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4264,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5791,2022,"Yes","4.088","1.108",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3432,2022,"Yes","0.891","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5793,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2106,2022,"Yes","1.969","1.316",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2006,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3686,2022,"Yes","8.678","0.37",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3928,2022,"Yes","6.117","1.148",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1908,2022,"Yes","0.891",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4503,2022,"Yes","6.42","6.42",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1145,2022,"Yes","6.457",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6457,2022,"Yes","8.714",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5062,2022,"Yes","4.231","1.066",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1913,2022,"Yes","1.296","1.296",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4269,2022,"Yes","4.69","1.32",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6051,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5531,2022,"Yes","4.333","2.373",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1823,2022,"Yes","0.9",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4885,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3777,2022,"Yes","0.504","0.504",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4684,2022,"Yes","0.493","0.035",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4382,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1552,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6200,2022,"Yes","1.457",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4751,2022,"Yes","6.802","2.002",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3258,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4488,2022,"Shutdown","1.3","1.3",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4604,2022,"Yes","0.506","0.506",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4946,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5656,2022,"Yes","0.579","0.579",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4732,2022,"Yes","5.614",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3057,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5301,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3972,2022,"Yes","1.46","0.25",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5324,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4275,2022,"Yes","4.821","1.224",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1436,2022,"Yes","1.231",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5735,2022,"Yes","1.296",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1190,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4299,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2625,2022,"Yes","6.584","6.584",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1699,2022,"Yes","0.654","0.654",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2126,2022,"Yes","0.518",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1545,2022,"Yes","1.271","0.292",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5803,2022,"Yes","1.033","0.08",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2256,2022,"Yes","8.935","2.357",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2162,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2078,2022,"Yes","0.44","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2569,2022,"Yes","4.515","4.515",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3952,2022,"Yes","11.739",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5795,2022,"Yes","1.713","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1297,2022,"Yes","2.803","2.803",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2100,2022,"Yes","3.621","3.621",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5535,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6165,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6507,2022,"Yes","2.664","2.664",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3973,2022,"Yes","10.794","0.628",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4961,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2451,2022,"Yes","8.996",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6080,2022,"Yes","1.589",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1917,2022,"Yes","0.0","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3132,2022,"Yes","0.903",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5422,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2159,2022,"Yes","0.476","0.476",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3095,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3099,2022,"Yes","0.818",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6199,2022,"Yes","9.661",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6241,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1618,2022,"Yes","0.36","0.36",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2918,2022,"Yes","0.339",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6494,2022,"Yes","3.183","3.183",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1259,2022,"Yes","12.644","9.91",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5050,2022,"Yes","4.941","2.791",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5049,2022,"Yes","2.509","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1221,2022,"Yes","0.569","0.55",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3089,2022,"Yes","1.243",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3449,2022,"Yes","3.755",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6038,2022,"Yes","3.101","3.101",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2093,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1905,2022,"Yes","2.83",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3231,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5788,2022,"Yes","4.72",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2185,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1896,2022,"Yes","1.5","1.5",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5277,2022,"Yes","0.567",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6503,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5164,2022,"Yes","0.701",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6196,2022,"Yes","3.448","0.028",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1480,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1163,2022,"Yes","2.069","2.069",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4021,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3259,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1972,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6050,2022,"Yes","1.345","1.345",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2143,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2972,2022,"Yes","3.961",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1557,2022,"Yes","2.304",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6206,2022,"Yes","1.717","1.717",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3693,2022,"Yes","3.423","0.111",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4257,2022,"Yes","6.867",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4595,2022,"Yes","0.428","0.428",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5238,2022,"Yes","6.592",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4474,2022,"Yes","1.11",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2667,2022,"Yes","1.014","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1446,2022,"Unknown",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5402,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6491,2022,"Yes","0.313","0.229",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4967,2022,"Yes","4.781",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1578,2022,"Yes","1.334",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2084,2022,"Yes","0.907",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6481,2022,"Yes","0.757","0.757",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6631,2022,"Yes","0.398","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4395,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2419,2022,"Yes","3.513","3.513",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3514,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1122,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5944,2022,"Yes","4.184","1.472",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4588,2022,"Yes","0.382","0.382",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1598,2022,"Yes","4.795","0.755",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4084,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3070,2022,"Yes","3.021","1.061",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2096,2022,"Yes","2.437",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5819,2022,"Yes","1.39","0.47",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4249,2022,"Yes","3.699","3.699",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3821,2022,"Yes","1.738","1.738",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6045,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
